INDEX_NR,INCIDENT_DATE,INCIDENT_MONTH,INCIDENT_YEAR,TIME,TIME_OF_DAY,AIRPORT_ID,AIRPORT,LATITUDE,LONGITUDE,RUNWAY,STATE,FAAREGION,LOCATION,ENROUTE_STATE,OPID,OPERATOR,REG,FLT,AIRCRAFT,AMA,AMO,EMA,EMO,AC_CLASS,AC_MASS,TYPE_ENG,NUM_ENGS,ENG_1_POS,ENG_2_POS,ENG_3_POS,ENG_4_POS,PHASE_OF_FLIGHT,HEIGHT,SPEED,DISTANCE,SKY,PRECIPITATION,AOS,COST_REPAIRS,COST_OTHER,COST_REPAIRS_INFL_ADJ,COST_OTHER_INFL_ADJ,INGESTED_OTHER,INDICATED_DAMAGE,DAMAGE_LEVEL,STR_RAD,DAM_RAD,STR_WINDSHLD,DAM_WINDSHLD,STR_NOSE,DAM_NOSE,STR_ENG1,DAM_ENG1,ING_ENG1,STR_ENG2,DAM_ENG2,ING_ENG2,STR_ENG3,DAM_ENG3,ING_ENG3,STR_ENG4,DAM_ENG4,ING_ENG4,STR_PROP,DAM_PROP,STR_WING_ROT,DAM_WING_ROT,STR_FUSE,DAM_FUSE,STR_LG,DAM_LG,STR_TAIL,DAM_TAIL,STR_LGHTS,DAM_LGHTS,STR_OTHER,DAM_OTHER,OTHER_SPECIFY,EFFECT,EFFECT_OTHER,BIRD_BAND_NUMBER,SPECIES_ID,SPECIES,REMARKS,REMAINS_COLLECTED,REMAINS_SENT,WARNED,NUM_SEEN,NUM_STRUCK,SIZE,NR_INJURIES,NR_FATALITIES,COMMENTS,REPORTED_NAME,REPORTED_TITLE,SOURCE,PERSON,LUPDATE,TRANSFER
608313,9/20/1990,9,1990,,Day,KPBI,PALM BEACH INTL,26.68316,-80.09559,,FL,ASO,,,COA,CONTINENTAL AIRLINES,,,B-737,148,95,,,A,4.0,D,2.0,1.0,1.0,,,Take-off Run,0.0,,0.0,Some Cloud,None,,,,,,False,False,N,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,UNKBS,Unknown bird - small,"HIT A FLOCK, ASSUME 2-10. NO DAMAGE.",False,False,Yes,,2-10,Small,,,/Legacy Record=100072/,REDACTED,REDACTED,FAA Form 5200-7,Tower,1/21/1999,False
608314,10/31/1990,10,1990,08:08,Day,KEWR,NEWARK LIBERTY INTL ARPT,40.6925,-74.16866,4R,NJ,AEA,,,USA,1US AIRWAYS,,,B-727,148,94,34.0,10.0,A,4.0,D,3.0,5.0,6.0,5.0,,Approach,,,,No Cloud,None,,,,,,False,False,N,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,None,,,UNKBM,Unknown bird - medium,"NO DAMAGE. ASKED PILOT TO CALL TOWER FOR THIS INFORMATION, BUT WE  NEVER RECEIVED.  AIRLINE MAINT AT EWR CALLED TO GIVE THE ABOVE INFORMATION. # BIRDS STRUCK NOT REPTD, ASSUME 1. FLT 656",False,False,Yes,,1,Medium,,,A/C REG REPTD AS N744 INCORRECT /Legacy Record=100073/,REDACTED,REDACTED,FAA Form 5200-7,Tower,12/18/1998,False
608315,4/21/1991,4,1991,,Day,KMIA,MIAMI INTL,25.79325,-80.29056,,FL,ASO,,,AJM,AIR JAMAICA,,,B-727,148,94,34.0,10.0,A,4.0,D,3.0,5.0,6.0,5.0,,Landing Roll,0.0,119.0,0.0,No Cloud,None,,,,,,False,False,N,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,None,,,NE1,Gulls,NO DAMAGE/INJURY.,False,False,Yes,,1,Medium,,,/Legacy Record=100074/,REDACTED,REDACTED,FAA Form 5200-7,Pilot,12/8/1997,False
608317,10/10/1990,10,1990,,Night,KMLI,QUAD CITY ARPT,41.44853,-90.50754,9,IL,AGL,,,AMF,AMERIFLIGHT,N426MA,,SA227 AC METRO III,915,07,19.0,4.0,A,2.0,C,2.0,4.0,4.0,,,Approach,5000.0,210.0,,No Cloud,None,,,,,,False,False,N,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,None,,,UNKBM,Unknown bird - medium,POSSIBLE DUCK STRUCK CAPT'S WINDSHLD NEAR LOWER INSIDE PANE.   IT APPEARED TO STRIKE WIPER BEFORE THE PANE. FWD VIZ OBSCURRED A  LITTLE.  NO VISIBLE DAMAGE WAS NOTED.,False,False,No,,1,Medium,,,/Legacy Record=100076/,REDACTED,REDACTED,FAA Form 5200-7,,12/21/1998,False
608319,9/5/1991,9,1991,,Day,KMIA,MIAMI INTL,25.79325,-80.29056,,FL,ASO,,,AAL,AMERICAN AIRLINES,,,B-727,148,94,34.0,10.0,A,4.0,D,3.0,5.0,6.0,5.0,,Climb,1700.0,200.0,,,,,,,,,False,False,N,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,None,,,UNKBM,Unknown bird - medium,LARGE BIRD HIT COPILOTS WINDOW - NO DAMAGE.,False,False,No,,1,Medium,,,/Legacy Record=100078/,REDACTED,REDACTED,FAA Form 5200-7,,7/31/1998,False
608320,11/29/1992,11,1992,,Day,KCMH,JOHN GLENN COLUMBUS INTL ARPT,39.9969472,-82.8921611,28L,OH,AGL,,,1AWE,AMERICA WEST AIRLINES,N622AW,,A-320,04A,03,23.0,1.0,A,4.0,D,2.0,1.0,1.0,,,Approach,200.0,120.0,,Overcast,None,,,,,,False,False,N,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,None,,,UNKBS,Unknown bird - small,NO DAMAGE.,False,False,Yes,,2-10,Small,,,/Legacy Record=100079/,REDACTED,REDACTED,FAA Form 5200-7,,7/31/1998,False
608321,8/9/1990,8,1990,,Day,KGPZ,GRAND RAPIDS/ITASCA COUNTY ARPT-GORDON NEWSTROM FIELD,47.2111,-93.50984,34,MN,AGL,,,MES,MESABA AIRLINES,N436MA,,SA227 AC METRO III,915,07,19.0,4.0,A,2.0,C,2.0,4.0,4.0,,,Take-off Run,0.0,80.0,0.0,No Cloud,None,,,,,,False,False,N,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,,Aborted Take-off,,,NE1,Gulls,"DURING TAKEOFF, SAW 2 GULLS ON CENTERLINE AFTER PASSING CREST OF  RWY.  RECOG & LDG LIGHTS ON, RADAR OFF.  BIRDS STRUCK A/C ON  NOSE GEAR STRUT & LEFT PROP TIP.  ABORTED T/O TO INSPECT FOR  DAMAGE THAT COULD AFFECT THE SAFETY OF FLIGHT.",False,False,No,2-10,2-10,Medium,,,/Legacy Record=100080/,REDACTED,REDACTED,FAA Form 5200-7,Pilot,2/10/1999,False
608322,8/28/1993,8,1993,,Day,KMWH,GRANT COUNTY ARPT,47.20771,-119.32019,32R,WA,ANM,,,JAL,JAPAN AIRLINES,JA8151,,B-747-1/200,148,14,34.0,13.0,A,5.0,D,4.0,1.0,1.0,1.0,1.0,Climb,500.0,160.0,,Some Cloud,None,,,,,,False,True,M?,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,Precautionary Landing,,,UNKBM,Unknown bird - medium,EXTENT OF DAMAGE NOT REPTD.,False,False,No,1,1,Medium,,,/Legacy Record=100081/,REDACTED,REDACTED,FAA Form 5200-7,,4/21/1998,False
608324,7/7/1991,7,1991,,Day,PHLI,LIHUE ARPT,21.97598,-159.33896,,HI,AWP,,,HAL,HAWAIIAN AIR,,,DC-9-50,583,23,34.0,10.0,A,4.0,D,2.0,5.0,5.0,,,Climb,100.0,120.0,,No Cloud,None,,,,,,False,False,N,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,ZX3,Sparrows,NO DAMAGE/INJURY,False,False,Yes,1,1,Small,,,/Legacy Record=100083/,REDACTED,REDACTED,FAA Form 5200-7,,3/1/2007,False
608325,7/8/1991,7,1991,,Day,KCVG,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,39.04614,-84.66217,,KY,ASO,,,DAL,DELTA AIR LINES,,,B-737,148,95,34.0,10.0,A,4.0,D,2.0,1.0,1.0,,,Landing Roll,0.0,130.0,0.0,Overcast,None,,,,,,False,False,N,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,UNKBS,Unknown bird - small,"NO DAMAGE, HIT ON RWY.",False,False,No,1,1,Small,,,/Legacy Record=100084/,REDACTED,REDACTED,FAA Form 5200-7,,10/29/1997,False
